"id","nome","slug","site","origem_site","imagem","pasta","caminho_imagem"
"131","CONRADO & ALEKSANDRO","conrado---aleksandro","http://www.conradoealeksandro.com.br/","rss.xml e sitemap.xml","04-03-2016-4b2d9d2ed10c95ccb6e63cc8f571eff8.jpg","12-12-2014-a7a7be17dc418fa0fc11e4473e9efc8a","images/categorias/12-12-2014-a7a7be17dc418fa0fc11e4473e9efc8a/04-03-2016-4b2d9d2ed10c95ccb6e63cc8f571eff8.jpg"
"125","CARREIRO & CAPATAZ","carreiro---capataz","http://www.carreiroecapatazoficial.com.br/","rss.xml e sitemap.xml","15-08-2017-25559c0e440a6d7450673f2df0f7544d.jpg","12-12-2014-5bec889e441aebd59f93b4bfaa3ecca9","images/categorias/12-12-2014-5bec889e441aebd59f93b4bfaa3ecca9/15-08-2017-25559c0e440a6d7450673f2df0f7544d.jpg"
"123","ALTHAIR & ALEXANDRE","althair---alexandre","http://althairealexandre.com.br/","rss.xml e sitemap.xml","15-08-2017-8925276717444252379aecfa8d4a3c78.jpg","12-12-2014-2e527c8326fa007fb0aa2499cd3c8c08","images/categorias/12-12-2014-2e527c8326fa007fb0aa2499cd3c8c08/15-08-2017-8925276717444252379aecfa8d4a3c78.jpg"
"156","BRUNO & BARRETTO","bruno---barretto","http://www.brunoebarretto.com.br/","rss.xml e sitemap.xml","04-03-2016-16c2d35f4c3dd46a7d2eb844f7cc1732.jpg","20-03-2015-838fe8c72943cd04f3a43c4528309621","images/categorias/20-03-2015-838fe8c72943cd04f3a43c4528309621/04-03-2016-16c2d35f4c3dd46a7d2eb844f7cc1732.jpg"
"221","MANUTTI","manutti","http://www.manutti.com.br/","rss.xml e sitemap.xml","15-08-2017-baf98a9a7a34205d68b85376472dccd0.jpg","27-05-2015-d78ba7bc50db068972ea27b361411850","images/categorias/27-05-2015-d78ba7bc50db068972ea27b361411850/15-08-2017-baf98a9a7a34205d68b85376472dccd0.jpg"
"450","JULIA & RAFAELA","julia---rafaela","http://www.juliaerafaela.com.br/","rss.xml e sitemap.xml","15-08-2017-5c3a8a406c89e5d1cf6e12af82586a31.png","15-08-2017-7352ddec9b604b1eb650d96b64868134","images/categorias/15-08-2017-7352ddec9b604b1eb650d96b64868134/15-08-2017-5c3a8a406c89e5d1cf6e12af82586a31.png"
"491","FRED & VICTOR","fred---victor","","","02-05-2018-1bc81723fa9c0b2e41da8c0d22fa4aeb.jpg","02-05-2018-4c6fbf2f3d95dfc8db4e7ea14a956cb0","images/categorias/02-05-2018-4c6fbf2f3d95dfc8db4e7ea14a956cb0/02-05-2018-1bc81723fa9c0b2e41da8c0d22fa4aeb.jpg"
"492","LUCAS BARROS","lucas-barros","","","02-05-2018-99a4412f86d76bc13cca9dd758725729.jpg","02-05-2018-29d84613dadd58bacbe311eea74a9cbc","images/categorias/02-05-2018-29d84613dadd58bacbe311eea74a9cbc/02-05-2018-99a4412f86d76bc13cca9dd758725729.jpg"
